id,categoryId,name,shortDescription,description,price,originalPrice,imageUrl,galleryImages,duration,highlights,stock,isActive,isFeatured,sortOrder,createdAt,updatedAt,tags
30012,5,女神尊享 11 選通行證｜按摩・美肌・修身,11 選通行證、全館設施、多重護理,女神尊享 11 選通行證提供 11 項療程選擇。包含按摩、美肌、修身等多重護理。享受全館設施、朋友拆單優惠、皇牌療程體驗。無創傷、無痛、恢復快。,2980.00,3725.00,https://puredream-utbmkxyk.manus.space/manus-storage/treatment_01_53f1b0c7.png,,,,999,1,0,1,2026-05-18 16:33:06,2026-06-04 13:42:14,"[""人氣皇牌"", ""贈送項目""]"
30013,5,女神尊享 11 項｜按摩・美肌・修身,11 項療程、限時優惠、全面護理,女神尊享 11 項限時優惠提供 11 項療程體驗。包含按摩、美肌、修身等多重護理。享受全館設施、朋友拆單優惠、皇牌療程體驗。無創傷、無痛、恢復快。,488.00,610.00,, /manus-storage/treatment_01_53f1b0c7.png,,,999,1,0,2,2026-05-18 16:33:06,2026-06-02 12:37:38,"[""限時優惠"", ""人氣皇牌""]"
30014,5,女神尊享 11 項｜按摩・美肌・修身,11 項療程、高級套餐、完整護理,女神尊享 11 項高級套餐提供 11 項療程體驗。包含按摩、美肌、修身等多重護理。享受全館設施、朋友拆單優惠、皇牌療程體驗。無創傷、無痛、恢復快。,3980.00,4975.00,,,,,999,1,0,3,2026-05-18 16:33:06,2026-06-02 12:37:38,"[""限時優惠"", ""贈送項目""]"
30015,4,Deka Onda 熱微波溶脂｜無痛滅脂・即時收緊,熱微波溶脂、無痛滅脂、即時收緊,Deka Onda 熱微波溶脂療程採用熱微波技術。深層溶脂、無痛滅脂、即時收緊、改善脂肪堆積、提升身體線條。無創傷、無痛、恢復快。,888.00,4000.00,https://puredream-utbmkxyk.manus.space/manus-storage/Deka_Onda_microwave_v1_4ca6c6dd.png,,60,,999,1,0,4,2026-05-18 16:33:07,2026-06-04 13:42:14,"[""限時優惠"", ""人氣皇牌""]"
30016,6,美胸堅挺｜提拉輪廓・豐盈感,豐胸緊致、提拉輪廓、豐盈效果,60 分鐘豐胸緊致療程採用提拉技術。深層提拉輪廓、豐胸緊致、豐盈效果、改善下垂、恢復挺立。無創傷、無痛、恢復快。,488.00,1520.00,https://res.cloudinary.com/dfudrpp7m/image/upload/v1779784044/%E8%83%B8%E9%83%A8%E8%88%92%E6%9A%A2%E6%95%91%E6%98%9F_%E5%B0%88%E6%A5%AD%E5%AE%89%E5%85%A8%E7%89%88_qnxbew.png,,60,,999,1,0,5,2026-05-18 16:33:07,2026-06-02 12:54:52,"[""首試價"", ""贈送項目""]"
30020,6,局部完美緊致雕塑｜腰腹・大腿・手臂,局部雕塑、緊致護理、修長線條,局部完美緊致雕塑療程採用專業雕塑技術。針對腰腹、大腿、手臂進行深層雕塑、緊緻肌膚、提升線條、改善鬆弛。無創傷、無痛、恢復快。,488.00,1520.00,https://puredream-utbmkxyk.manus.space/manus-storage/THERANOVA_nano_ceramic_detox_v1_626790d9.png,,60,,999,1,0,9,2026-05-18 16:33:08,2026-06-04 13:42:14,"[""限時優惠"", ""贈送項目""]"
30021,6,THERANOVA 納米瓷溫排毒｜軟化富貴包・肩頸 （全身）,納米瓷溫、排毒護理、肩頸舒緩,THERANOVA 納米瓷溫排毒療程採用納米瓷溫技術。深層排毒、軟化富貴包、肩頸舒緩、改善頸部問題。無創傷、無痛、恢復快。,888.00,2500.00,https://puredream-utbmkxyk.manus.space/manus-storage/THERANOVA_nano_ceramic_detox_v1_626790d9.png,,90,,999,1,0,10,2026-05-18 16:33:08,2026-06-04 13:42:14,"[""限時優惠"", ""贈送項目""]"
30022,2,LPG 深層收緊塑身｜孕婦適用收緊｜疏通水腫・增彈性,深層塑形、疏通水腫、增加彈性、孕婦適用,LPG 深層收緊塑身療程採用 LPG 技術。深層塑形、疏通水腫、增加彈性、孕婦適用、改善鬆弛。無創傷、無痛、恢復快。,988.00,4000.00,https://puredream-utbmkxyk.manus.space/manus-storage/LPG_pregnant_tightening_v1_6dee1ff3.png,,90,,999,1,0,11,2026-05-18 16:33:08,2026-06-04 13:42:14,"[""贈送項目""]"
30024,6,i Magic Power 經絡解痛｜肩頸・腰背・無痛（全身）,全身經絡解痛、深層舒緩、無痛療法,i Magic Power 經絡解痛全身療程採用經絡解痛技術。深層舒緩全身、無痛療法、改善疼痛、促進恢復。無創傷、無痛、恢復快。,998.00,3500.00,https://raw.githubusercontent.com/abbyka/website-product-pictures/main/iMagic_meridian_pain_v1_c9bf3934.png,,90,,999,1,0,13,2026-05-18 16:33:09,2026-06-04 13:42:14,"[""首試價"", ""贈送項目""]"
30025,6,i Magic Power 經絡暢｜疏通胸脹・無痛（胸部）,胸部舒暢、疏通胸脹、無痛護理,i Magic Power 胸部舒暢療程採用經絡解痛技術。深層疏通胸脹、胸部舒暢、無痛護理、改善胸悶。無創傷、無痛、恢復快。,788.00,2000.00,https://raw.githubusercontent.com/abbyka/website-product-pictures/main/iMagic_chest_comfort_v1_aa494bf4.png,,60,,999,1,0,14,2026-05-18 16:33:09,2026-06-04 13:42:14,"[""首試價"", ""贈送項目""]"
30026,7,THERMATRIX 腹部淡紋｜淡化紋路・撫平皺紋,膠原激活、淡化紋路、撫平皺紋,THERMATRIX 腹部淡紋療程，採用射頻技術激活膠原蛋白。深層加熱、促進膠原重塑、淡化紋路、撫平皺紋。無創傷、無痛、恢復快。改善腹部鬆弛、淡化妊娠紋、恢復緊緻腹部。適合腹部鬆弛者、妊娠紋困擾者、想要緊緻腹部者。,888.00,4000.00,https://puredream-utbmkxyk.manus.space/manus-storage/THERMATRIX_abdomen_collagen_wrinkle_v1_65ca4000.png,,90,,999,1,0,15,2026-05-18 16:33:09,2026-06-04 13:42:14,"[""贈送項目""]"
30028,5,暗瘡肌救星｜消炎・退紅印・無痛,消炎護理、退紅印、暗瘡救星,90 分鐘暗瘡肌救星療程採用消炎技術。深層消炎、退紅印、修復肌膚、改善暗瘡肌、恢復光滑肌膚。無創傷、無痛、恢復快。,488.00,1660.00,https://puredream-utbmkxyk.manus.space/manus-storage/treatment_acne_rescue_12ba7bea.png,,90,,999,1,0,17,2026-05-18 16:33:10,2026-06-04 13:42:14,"[""首試價"", ""贈送項目""]"
30029,5,白皙光澤導入｜褪黃氣・均膚色,白皙導入、褪黃氣、均膚色,90 分鐘白皙光澤導入療程採用導入技術。深層補水、褪黃氣、均膚色、提亮膚色、恢復光澤肌膚。無創傷、無痛、恢復快。,488.00,1660.00,https://puredream-utbmkxyk.manus.space/manus-storage/treatment_whitening_bright_9d4f8744.png,,90,,999,1,0,18,2026-05-18 16:33:10,2026-06-04 13:42:14,"[""首試價"", ""贈送項目""]"
30030,7,PURISMA 等離子脫疣・油脂粒｜5粒無痛淨肌,等離子無痛脫疣、去油脂粒、快速淨肌,PURISMA 等離子技術無痛脫疣、油脂粒。無創傷、無痛、無恢復期。一次療程可脫 5 粒疣或油脂粒。快速淨肌、改善膚質。適合脂肪粒困擾者、皮膚不潔淨者、想要快速淨肌者。,388.00,500.00,https://puredream-utbmkxyk.manus.space/manus-storage/PURISMA_plasma_wart_removal_v1_c9757291.png,,60,,999,1,0,19,2026-05-18 16:33:10,2026-06-04 13:42:14,"[""贈送項目""]"
30031,3,LEGACY 面部嫩膚｜淡皺・緊膚（單機）,射頻嫩膚、淡化皺紋、提升緊緻感,Legacy 面部嫩膚療程採用射頻技術。深層加熱、激活膠原、淡化皺紋、提升面部輪廓、緊緻皮膚。無創傷、無痛、恢復快。,888.00,1500.00,https://puredream-utbmkxyk.manus.space/manus-storage/legacy_facial_skin_rejuvenation_pro_c7f7027d.png,,30,,999,1,0,20,2026-05-18 16:33:10,2026-06-04 13:42:14,
30032,7,PURISMA 等離子脫疣・油脂粒｜全面淨肌,等離子無痛脫疣、全面淨肌、恢復光滑肌膚,PURISMA 等離子技術全面無痛脫疣、油脂粒、肉粒。無創傷、無痛、無恢復期。全面淨肌、改善膚質、恢復光滑肌膚。適合脂肪粒困擾者、皮膚不潔淨者、想要全面淨肌者。,988.00,400.00,https://puredream-utbmkxyk.manus.space/manus-storage/purisma_plasma_wart_removal_full_real_b6a02233.png,,90,,999,1,0,21,2026-05-18 16:33:11,2026-06-04 13:42:14,"[""贈送項目""]"
30033,5,Plason 等離子暗瘡淨膚｜消炎・修復・收毛孔（全套面膜＋肩頸按摩）,等離子消炎、修復暗瘡、收毛孔,Plason 等離子暗瘡淨膚療程，採用等離子技術。消炎殺菌、修復暗瘡、收縮毛孔、改善膚質。無創傷、無痛、恢復快。適合暗瘡肌膚、毛孔粗大者、想要淨膚者。,788.00,2500.00,https://puredream-utbmkxyk.manus.space/manus-storage/plason_plasma_cleansing_da1dea51.png,,90,,999,1,0,22,2026-05-18 16:33:11,2026-06-04 13:42:14,"[""限時優惠"", ""贈送項目""]"
30035,8,眼部亮麗緊致｜消眼腫・黑眼圈,眼部亮麗、消眼腫、黑眼圈淡化,45 分鐘眼部亮麗緊致療程採用專業眼部護理技術。深層消眼腫、淡化黑眼圈、提亮眼部、緊緻眼周肌膚、改善眼部疲勞。無創傷、無痛、恢復快。,388.00,750.00,https://res.cloudinary.com/dfudrpp7m/image/upload/v1779784044/%E7%9C%BC%E9%83%A8%E4%BA%AE%E9%BA%97%E7%B7%8A%E8%87%B4_ezybjt.png,,45,,999,1,0,24,2026-05-18 16:33:11,2026-06-03 06:29:27,"[""限時優惠"", ""贈送項目""]"
30036,8,THERMATRIX  眼部緊膚淡紋｜眼紋淡化・眼袋收緊,眼部緊膚、眼紋淡化、眼袋收緊,Thermatrix 眼部緊膚淡紋療程採用 Thermatrix 技術。深層緊膚、淡化眼紋、收緊眼袋、提亮眼部、改善眼周衰老。無創傷、無痛、恢復快。,788.00,2000.00,https://puredream-utbmkxyk.manus.space/manus-storage/Thermatrix_eye_tightening_v1_34dbfc50.png,,60,,999,1,0,25,2026-05-18 16:33:12,2026-06-04 13:42:14,"[""贈送項目""]"
30037,8,Ultra 360 膠原眼袋緊膚｜眼紋淡・眼袋收縮,膠原眼袋、眼紋淡化、眼袋收縮,Ultra 360 膠原眼袋緊膚療程採用膠原技術。深層激活膠原、淡化眼紋、收縮眼袋、提亮眼部、改善眼周衰老。無創傷、無痛、恢復快。,588.00,1500.00,https://raw.githubusercontent.com/abbyka/website-product-pictures/main/Ultra360_antiaging_v1_3a66c961.png,,,,999,1,0,26,2026-05-18 16:33:12,2026-06-04 13:42:14,"[""贈送項目""]"
30039,7,Aileen Plus 脫毛・手部｜粗毛專用,🌟 Legacy 黑圈眼袋細紋統統走｜✨眼部抗皺緊致微循環｜🙆🏻 通循環+激膠原 眼周亮緊又光滑｜🙆🏻 黑圈眼袋細紋統統走 眼態升級｜🔥 做完敢素顏 送全館體驗！,"🌟 Legacy 黑圈眼袋細紋統統走｜✨眼部抗皺緊致微循環｜🙆🏻 通循環+激膠原 眼周亮緊又光滑｜🙆🏻 黑圈眼袋細紋統統走 眼態升級｜🔥 做完敢素顏 送全館體驗！。提供高效面部護理療程,專業眼部護理。優惠價格 HKD $688.0。Pure Dream Beauty & Spa 為您提供高端美容水療服務。",688.00,,https://raw.githubusercontent.com/abbyka/website-product-pictures/main/Aileen_Plus_hair_removal_armpit_correct_v1_c6fc1e96.png,,,,999,1,0,28,2026-05-18 16:33:12,2026-06-04 13:42:14,
30041,5,Dep 水光槍｜補水・無針導入（全套面膜＋肩頸按摩）,水光槍、全套護理、完整補水,DEP 水光槍全套護理療程採用水光槍技術。包含深層補水、無針導入、專業面膜護理、肩頸按摩。激活細胞、改善膚質、恢復光澤肌膚。無創傷、無痛、恢復快。,988.00,4000.00,https://raw.githubusercontent.com/abbyka/website-product-pictures/main/aileen_plus_laser_collage_c93d61bd.png,,90,,999,1,0,30,2026-05-18 16:33:13,2026-06-04 13:42:14,
